id;rut;nombre;a_paterno;a_materno;especialidad
1;during;expostulate for;ah;expansion stunning junior;owlishly sweet viciously
2;along;outrun;till beside drat;ripe right er;scary
3;phooey and;questioningly verbally;snowplow supposing saloon;aside;aw forsaken
4;swordfish;another;failing amid er;yowza rudely;including
5;yahoo;now;incidentally upward;inasmuch sideboard;duh geez
6;lest likewise;tributary unused;sparse;service embody;enchanting acidly
7;for apud;although pish;gnash;so cornet oh;around frugal
8;considering from than;ha obnoxiously;athwart;provided zowie off;impact gift meanwhile
9;armchair winding;prioritize culminate railway;plus before deliberately;wasabi;airbrush
10;duffel shout;cautious pish;freezing pricey why;skateboard goodwill outflank;cheerful contrast yippee
