id;rut;nombre;a_paterno;a_materno;fecha_nacimiento
1;ouch with while;kindheartedly mmm;yuck abaft stealthily;because;2024-11-21
2;compromise;fervently versus;boohoo storyboard ornate;french;2024-11-21
3;coolly yippee daintily;smoothly;joyfully toaster excluding;hospitable ponder;2024-11-21
4;triumphantly;twist so freight;surprisingly;putrefy frankly;2024-11-21
5;whoa;well-lit;smoothly excepting platypus;carefully;2024-11-20
6;coolly oval whose;ah huzzah an;versus boohoo;decouple correctly frightened;2024-11-21
7;hydrolyse by save;after terribly;joyously innovation farmer;language outside phew;2024-11-21
8;pause drat whether;topsail brr;tremendously angrily;pfft diligent;2024-11-21
9;jump;yesterday yuck utterly;upbeat;lightly;2024-11-21
10;certify appropriate cautious;burly;except worth boo;down;2024-11-21
